release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
18-Jan, Scissor Seven , China , 01/10/2020 , Animation ,8.4,86,2,season 4 
14-Jan, Crash Course In Romance , South Korea , 01/14/2023 , Comedy ,7.9,,8758,season 1 
13-Jan, Trial By Fire , India , 01/13/2023 , Crime ,7.9,,593,season 1 
13-Jan, Break Point , United States , 01/13/2023 , Documentary ,7.3,,379,season 1 
13-Jan, Sky Rojo , Spain , 03/19/2021 , Crime ,6.6,,8036,season 3 
12-Jan, The Makanai: Cooking for the Maiko House , Japan , 01/12/2023 , Drama ,7.9,93,296,season 1 
12-Jan, Kung Fu Panda: The Dragon Knight , United States , 07/14/2022 , Animation ,6,,3616,season 2 
12-Jan, Vikings: Valhalla , United States , 02/25/2022 , History ,7.3,95,25206,season 2 
11-Jan, Sexify , Poland , 04/28/2021 , Comedy ,6.5,83,13208,season 2 
6-Jan, Pressure Cooker , United States ,1/6/2023, Food ,6.4,71,256,season 1 
5-Jan, Copenhagen Cowboy , Denmark , 01/05/2023 , Crime ,6.8,67,22,season 1 
5-Jan, Ginny & Georgia , United States , 02/24/2021 , Drama ,7.5,64,55815,season 2 
4-Jan, Madoff: The Monster of Wall Street , United States , 01/04/2023 , Documentary ,7.3,,1099,season 1 
4-Jan, The Lying Life of Adults , Italy , 01/04/2023 , Drama ,6.4,100,80,season 1 
3-Jan, Workin' Moms , Canada , 01/10/2017 , Comedy ,7.8,71,7136,season 7 
1-Jan, Lady Voyeur , Brazil , 01/01/2023 , Crime ,4.9,,3056,season 1 
1-Jan, Kaleidoscope , United States , 01/01/2023 , Crime ,6.6,,12226,season 1 
31-Dec-22, Live to Lead , United States , 12/31/2022 , Documentary ,4.5,,,season 1 
30-Dec-22, The Ultimatum: France , France , 12/30/2022 , Reality-Show , ,,22,season 1 
30-Dec-22, The Glory , South Korea , 12/30/2022 , Mystery ,8.1,,23970,season 1 
30-Dec-22, Alpha Males , Spain , 12/30/2022 , Comedy , ,,1451,season 1 
30-Dec-22, Cielo grande , Spain , 02/16/2022 , Drama ,6.1,,157,season 2 
30-Dec-22, Chicago Party Aunt , United States , 09/17/2021 , Animation ,5.6,43,14,season 2 
29-Dec-22, Brown and Friends , South Korea , 12/29/2022 , Animation ,8.4,,,season 1 
