link,language,words,kudos,comments,bookmarks,hits
https://archiveofourown.org/works/41327292,English,884,24,3,1,334
https://archiveofourown.org/works/41181165,English,"1,189",95,0,9,2469
https://archiveofourown.org/works/41150538,English,385,53,8,2,556
https://archiveofourown.org/works/41150403,English,263,124,6,5,1340
https://archiveofourown.org/works/40822290,English,"1,273",81,4,5,1186
https://archiveofourown.org/works/40758879,English,"1,958",49,8,7,452
https://archiveofourown.org/works/31749520,English,"69,116",622,265,74,19277
https://archiveofourown.org/works/38985141,Русский,"1,868",3,0,0,40
https://archiveofourown.org/works/38726418,English,"3,263",63,9,9,602
https://archiveofourown.org/works/38693130,English,"2,542",48,8,11,249
https://archiveofourown.org/works/38456155,Русский,494,18,0,1,287
https://archiveofourown.org/works/38456047,Русский,726,9,0,0,154
https://archiveofourown.org/works/38455981,Русский,477,6,0,0,38
https://archiveofourown.org/works/16444880,English,"10,221",28,32,2,348
https://archiveofourown.org/works/38353732,English,"3,433",93,6,10,888
https://archiveofourown.org/works/37809556,English,"20,348",422,128,79,4591
https://archiveofourown.org/works/38108749,English,"1,165",31,14,2,334
https://archiveofourown.org/works/37767757,English,"1,242",42,5,2,405
https://archiveofourown.org/works/37663726,English,642,48,11,5,449
https://archiveofourown.org/works/37641985,English,"3,514",495,33,44,3866
https://archiveofourown.org/works/37499755,English,"1,886",88,4,3,1854
https://archiveofourown.org/works/37543237,English,"1,941",101,11,13,1215
https://archiveofourown.org/works/37488253,English,"1,582",160,11,7,1562
https://archiveofourown.org/works/37460626,English,936,32,0,0,1123
https://archiveofourown.org/works/37157191,English,"4,499",116,17,16,1146
https://archiveofourown.org/works/35959795,English,"3,623",259,15,19,2239
https://archiveofourown.org/works/35957389,English,669,64,2,5,517
https://archiveofourown.org/works/35957182,English,"3,429",84,5,8,678
https://archiveofourown.org/works/35952211,English,"4,153",45,3,2,529
https://archiveofourown.org/works/35934856,English,"2,093",90,16,15,591
https://archiveofourown.org/works/35947474,English,"1,831",107,4,7,840
https://archiveofourown.org/works/35714974,English,265,14,3,1,107
https://archiveofourown.org/works/18391685,English,"3,491",82,17,4,1584
https://archiveofourown.org/works/35593156,English,482,131,2,10,1492
https://archiveofourown.org/works/35589040,English,602,5,0,0,34
https://archiveofourown.org/works/33510064,English,"7,605",66,1,2,1199
https://archiveofourown.org/works/34934545,Deutsch,"1,341",5,1,0,175
https://archiveofourown.org/works/34238950,English,"3,065",76,9,11,2617
https://archiveofourown.org/works/34548994,English,"2,985",191,12,20,2243
https://archiveofourown.org/works/34284907,English,"2,620",168,18,19,1222
https://archiveofourown.org/works/34030168,English,"2,305",69,1,5,1336
https://archiveofourown.org/works/33604453,English,"2,499",90,11,13,568
https://archiveofourown.org/works/33603901,English,"2,468",57,4,9,620
https://archiveofourown.org/works/33603517,English,"1,321",23,3,2,244
https://archiveofourown.org/works/33603397,English,"3,683",23,2,4,420
https://archiveofourown.org/works/33602119,English,"3,529",16,6,0,215
https://archiveofourown.org/works/33597295,English,"4,535",123,8,9,1660
https://archiveofourown.org/works/33399550,Русский,"1,285",5,0,0,107
https://archiveofourown.org/works/33167092,English,235,28,2,1,566
https://archiveofourown.org/works/33166024,English,618,33,4,1,645
https://archiveofourown.org/works/33162718,English,424,28,7,2,517
https://archiveofourown.org/works/33048874,English,"2,505",22,0,0,181
https://archiveofourown.org/works/25476073,English,"6,787",100,25,9,765
https://archiveofourown.org/works/31005203,English,"38,119",17,28,6,578
https://archiveofourown.org/works/30357936,English,"6,375",48,8,3,3792
https://archiveofourown.org/works/32434663,English,"3,834",136,29,8,945
https://archiveofourown.org/works/19267762,English,"14,310",33,60,4,920
https://archiveofourown.org/works/23134495,English,"26,057",28,35,3,370
https://archiveofourown.org/works/31241390,English,323,52,4,4,743
https://archiveofourown.org/works/30412464,English,698,69,12,4,1753
https://archiveofourown.org/works/30162747,English,"3,295",288,28,23,2647
https://archiveofourown.org/works/29639628,English,937,184,10,10,1411
https://archiveofourown.org/works/28748706,English,"53,122",17,5,4,473
https://archiveofourown.org/works/27585835,English,"7,741",41,13,3,610
https://archiveofourown.org/works/29158182,English,"3,935",203,22,20,2276
https://archiveofourown.org/works/29022459,English,"1,992",33,11,2,369
https://archiveofourown.org/works/28896489,English,"1,071",34,4,1,713
https://archiveofourown.org/works/28701117,English,"2,191",34,21,1,273
https://archiveofourown.org/works/28570842,English,"1,457",133,6,10,1629
https://archiveofourown.org/works/28441131,English,"1,351",95,4,2,1602
https://archiveofourown.org/works/28339671,English,"8,341",143,4,5,2838
https://archiveofourown.org/works/28326390,English,"2,632",100,4,2,1027
https://archiveofourown.org/works/28328451,English,"1,831",14,4,1,200
https://archiveofourown.org/works/28318425,English,832,86,8,6,806
https://archiveofourown.org/works/28072506,English,"8,422",49,28,10,449
https://archiveofourown.org/works/28310859,English,"1,470",23,4,0,156
https://archiveofourown.org/works/28301892,English,"6,560",7,4,1,67
https://archiveofourown.org/works/28300128,English,"2,168",95,9,9,780
https://archiveofourown.org/works/28299708,English,"1,664",30,1,0,341
https://archiveofourown.org/works/28120584,English,828,34,2,3,268
https://archiveofourown.org/works/24743593,English,"56,765",230,96,39,4775
https://archiveofourown.org/works/28030506,English,686,35,2,0,512
https://archiveofourown.org/works/27178588,English,"7,007",114,21,5,2590
https://archiveofourown.org/works/27827257,English,"3,301",131,24,10,1042
https://archiveofourown.org/works/27720083,English,"3,897",192,37,10,1930
https://archiveofourown.org/works/27720470,English,478,48,0,1,764
https://archiveofourown.org/works/27642815,English,548,124,5,9,711
https://archiveofourown.org/works/27604234,English,"2,648",31,12,2,500
https://archiveofourown.org/works/27570118,English,"3,884",160,4,18,4154
https://archiveofourown.org/works/27237379,English,"2,797",249,6,24,4793
https://archiveofourown.org/works/27204560,English,"3,031",213,6,20,4477
https://archiveofourown.org/works/27189397,English,736,182,7,8,2256
https://archiveofourown.org/works/21984409,English,"52,217",613,294,117,8239
https://archiveofourown.org/works/19988008,English,"27,734",232,191,27,4263
https://archiveofourown.org/works/27064024,English,"3,227",78,10,10,495
https://archiveofourown.org/works/27034102,English,"1,641",264,10,15,2630
https://archiveofourown.org/works/26924479,English,"1,437",20,11,0,313
https://archiveofourown.org/works/20861537,English,"10,274",169,8,22,3643
https://archiveofourown.org/works/26786782,English,"3,370",158,16,19,1518
https://archiveofourown.org/works/26625391,English,"3,672",88,7,7,746
https://archiveofourown.org/works/26548330,English,530,23,2,2,255
https://archiveofourown.org/works/26029258,English,"9,192",17,2,2,390
https://archiveofourown.org/works/26232238,English,"3,658",74,13,1,3727
