release_date,title,location,s1release_date,genre,imdb,rottentomato,ranking,season
Dec 142022, Glitter , Poland , 12/14/2022 , Drama ,5.5,,145,season 1 
Dec 132022, Gudetama: An Eggcellent Adventure , Japan , 12/13/2022 , Animation ,7.3,,115,season 1 
Dec 132022, Single’s Inferno , United States , 12/18/2021 , Reality-Show ,7.1,,,season 2 
Dec 132022, Single’s Inferno , South Korea , 01/01/2021 , Reality-Show ,7.2,44,6462,season 2 
Dec 132022, Last Chance U: Basketball , United States , 03/10/2021 , Documentary ,8.3,100,429,season 2 
Dec 102022, Alchemy of Souls , South Korea , 06/18/2022 , Fantasy ,8.8,,22791,season 2 
Dec 92022, CAT , India , 12/09/2022 , Crime ,8.3,,1012,season 1 
Dec 92022, Dragon Age: Absolution , United States , 12/09/2022 , Animation ,6.4,,59,season 1 
Dec 92022, How To Ruin Christmas , South Africa , 12/16/2020 , Comedy ,6.4,,1205,season 3 
Dec 92022, Dream Home Makeover , United States , 10/16/2020 , Reality-Show ,5.7,,1020,season 4 
Dec 82022, Harry & Meghan , United States , 12/08/2022 , Documentary ,4.9,44,11060,
Dec 82022, Lookism , South Korea , 11/04/2022 , Animation ,7.7,,494,season 1 
Dec 72022, The Most Beautiful Flower , Mexico , 12/07/2022 , Comedy ,5.9,,132,season 1 
Dec 72022, Smiley , Spain , 12/07/2022 , Comedy ,8,,163,season 1 
Dec 72022, Odio Il Natale , Italy , 12/07/2022 , Comedy ,6.3,,1438,season 1 
Dec 72022, Too Hot to Handle , United States , 04/17/2020 , Reality-Show ,4.7,,35050,season 4 
Dec 22022, Sıcak Kafa , Turkey , 12/02/2022 , Drama ,7.2,,778,season 1 
Dec 22022, My Unorthodox Life , United States , 07/14/2021 , Reality-Show ,5.7,33,678,season 2 
Dec 22022, Firefly Lane , United States , 02/03/2021 , Drama ,7.5,48,29717,season 2 
Dec 12022, Dead End , Poland , 12/01/2022 , Crime ,6,,86,
Nov 302022, Take Your Pills: Xanax , United States , 11/30/2022 , Documentary ,6.1,,81,
Nov 302022, Snack vs Chef , United States , 11/30/2022 , Reality-Show ,5.4,,492,season 1 
Nov 292022, Crime Scene: The Texas Killing Fields , United States , 11/29/2022 , Documentary ,6.6,,995,
Nov 292022, Crime Scene: The Vanishing at the Cecil Hotel , United States , 02/10/2021 , Documentary ,6,76,6240,season 3 
Nov 252022, Blood & Water , South Africa , 05/20/2020 , Drama ,6.7,86,3340,season 3 
Nov 232022," Blood, Sex & Royalty ", United Kingdom , 11/23/2022 , History ,5.9,,549,season 1 
Nov 232022, Wednesday , United States , 11/23/2022 , Comedy ,8.1,71,58510,season 1 
Nov 232022, Taco Chronicles , United States , 07/11/2019 , Documentary ,7.8,92,38,season 3 
Nov 222022, Our Universe , United States , 11/22/2022 , Documentary ,7.6,,313,season 1 
Nov 182022, Inside Job , United States , 10/22/2021 , Animation ,7.7,79,3198,season 2 
Nov 182022, The Cuphead Show! , United States , 02/18/2022 , Animation ,7.4,87,2270,season 3 
Nov 182022, Elite , Spain , 10/05/2018 , Crime ,7.3,93,36641,season 6 
Nov 172022," Pepsi, Where's My Jet? ", United States , 11/17/2022 , Documentary ,7,,968,season 1 
Nov 172022,1899, Germany , 11/17/2022 , Science Fiction ,7.4,76,18074,season 1 
Nov 172022, Dead to Me , United States , 05/03/2019 , Drama ,8,88,7906,season 3 
Nov 162022, Mind Your Manners , United States , 11/16/2022 , Reality-Show ,5.9,,,season 1 
Nov 152022, Run for the Money , Japan , 11/15/2022 , Reality-Show ,7.2,,99,season 1 
Nov 112022, Ancient Apocalypse , United Kingdom , 11/11/2022 , Documentary ,7.3,,2339,season 1 
Nov 112022, Down to Earth with Zac Efron , United States , 07/10/2020 , Documentary ,8,71,3896,season 2 
Nov 102022, Warrior Nun , United States , 07/02/2020 , Fantasy ,7,84,15992,season 2 
Nov 92022, FIFA Uncovered , United States , 11/09/2022 , Documentary ,7.4,,1773,season 1 
Nov 92022, The Crown , United Kingdom , 11/04/2016 , History ,8.6,86,52506,season 5 
Nov 82022, Triviaverse , United States , 11/08/2022 , Quiz Show ,6.3,,,
Nov 72022, Woman of the Dead , Austria , 11/07/2022 , Crime ,6.8,,2471,season 1 
Nov 72022, Behind Every Star , South Korea , 11/07/2022 , Comedy ,7,,218,
Nov 72022, Deepa & Anoop , United States , 08/15/2022 , Animation ,8.1,,,season 2 
Nov 62022, Dangerous Liaisons , France , 07/08/2022 , Drama ,4,,5618,season 1 
Nov 42022, Buying Beverly Hills , United States , 11/04/2022 , Reality-Show ,5.4,,648,season 1 
Nov 42022, Manifest , United States , 09/24/2018 , Mystery ,7.1,78,69564,season 4 
Nov 32022, Blockbuster , United States , 11/03/2022 , Comedy ,5.1,,230,season 1 
Nov 32022, The Dragon Prince , Canada , 09/14/2018 , Animation ,8.3,100,128,season 4 
Nov 22022, Killer Sally , United States , 11/02/2022 , Documentary ,6.7,,1174,season 1 
