,fanfic_id,series_name
367,45305773,Lockwood & Co
368,45289729,something so precious about this (locklyle)
369,45267952,Lockwood and Co (Mostly Locklyle)
370,45268174,Discord Dares
371,45247666,Locklyle 5+1
372,45199969,"Hope, Trust & Love | Musings of Lockwod & Co"
373,45195922,Cause I'm A Mirrorball
374,45179152,Behind Closed Doors
375,45168628,Broken Like Me
376,45130819,Out like a light.
377,45099358,Lockwood & Co
378,45103351,Deux mots et demi
379,45092443,Cause I'm A Mirrorball
380,45075301,Locklyle Soulmate AU
381,45023200,Locklyle Soulmate AU
382,45034421,Lockwood & Co
383,45010582,Discord Dares
384,45010003,take pride in what is sure to die
385,44982742,Lockwood & Co
386,44938747,Lockwood and Co. Morsels
387,44908540,tea stops the world from falling in on you
388,44904502,Lockwood & Co
389,44881048,Lockwood & Co
390,44887732,"Locklyle, by Erin"
391,44878681,Triple Kiss
392,44871055,take pride in what is sure to die
393,44842891,burning the wick at both ends
394,44798203,Discord Dares
395,44795302,Lockwood & Co from Lockwood's POV
396,44791187,Lockwood & Co Oneshots
397,44766430,"Locklyle, by Erin"
398,44744098,tea stops the world from falling in on you
399,44727682,burning the wick at both ends
400,44740120,take pride in what is sure to die
401,44727628,Lockwood & Co from Lockwood's POV
402,44681728,Pranks & Kisses
403,44688367,The Bones and the Blood
404,44693524,Sometimes I Feel Like a Sad Song
405,44674834,take pride in what is sure to die
406,44665540,Lockwood & Co from Lockwood's POV
407,44666578,Froday Flash Fiction - Winter 2022/23 (Larger Challenge)
408,44651269,Sometimes I Feel Like a Sad Song
409,44618932,Sometimes I Feel Like a Sad Song
410,44525851,Bad Endings
411,44525836,Bad Endings
412,44524861,Bad Endings
413,44331544,Lockwood is worried
414,44257306,W&R Whumptober2022
415,44168686,Bad Endings
416,44085211,Bad Endings
417,43461150,Lockwood is worried
418,42929571,Lockwood is worried
419,42817701,Lockwood is worried
420,42140697,whumptober 2022
421,41708841,The Fittes Archives
422,41436312,Smut Smoothies
423,39371013,"tales from 35, portland row"
424,38726418,Chats over tea
425,38108749,lockwood & co conservatoire au
426,37543237,Chats over tea
427,37157191,"tales from 35, portland row"
428,35961451,Smut Smoothies
429,35714974,Mimi's 12 Days of Christmas: 2021 Edition
430,34238950,whumptober 2021
431,33828766,Bad Endings
432,33632479,Smut Smoothies
433,33167092,Bad Endings
434,33166024,Bad Endings
435,33162718,Bad Endings
436,32434663,Caffeine Addicts
437,31005203,Malfoy Hauntings Ltd.
438,29022459,"Let's go, Lucy!"
439,28701117,"Let's go, Lucy!"
440,28030506,Dumbledoor Crack Series
441,27827257,Caffeine Addicts
442,27604234,green skulls and black smoke
443,27585835,I Loved and I Loved and I Lost You
444,27570118,Locklyle
445,27178588,Pranks & Kisses
446,27141959,Run! and George Do Whumptober 2020
447,26924479,Run! and George Do Whumptober 2020
448,26786782,Run! and George Do Whumptober 2020
449,26548330,"Unless? (YouTube/Minecraft/Twitch AU, English)"
450,26232238,Smut Smoothies
451,25713040,"Unless? (YouTube/Minecraft/Twitch AU, English)"
452,25245310,girls
453,25245262,girls
454,25227376,girls
455,24437158,Disney Scribbles
456,23740597,Fifty Shades of Ectoplasm
457,23654395,A Cannon
458,22741834,A Cannon
459,22640254,Smut Smoothies
460,21514015,"¡Viva México, C*brones!"
461,21262232,"¡Viva México, C*brones!"
462,20915507,Fictober 2019
463,20907440,Fictober 2019
464,20907296,Fictober 2019
465,20478287,Smut Smoothies
466,20204818,A Cannon
467,18280280,Caffeine Addicts
468,18134861,Caffeine Addicts
469,17526290,Lockyle growing their love
470,17419553,Caffeine Addicts
471,17076665,Darkwood and Co.
472,17060711,Smut Smoothies
473,17003190,Inktober 2018
474,16511738,Caffeine Addicts
475,15561858,Fifty Shades of Ectoplasm
476,15402921,Life and Light and Laughter
477,15323526,Smut Smoothies
478,15305190,Life and Light and Laughter
479,15261393,Dogwood and Co.
480,15261348,Darkwood and Co.
481,15261186,Darkwood and Co.
482,15261075,Darkwood and Co.
483,15260841,Carlyle and Skull
484,15260751,Carlyle and Skull
485,15241164,The Other Guy
486,15241080,The Other Guy
487,14894105,Life and Light and Laughter
488,14418399,Life and Light and Laughter
489,13906929,Life and Light and Laughter
490,13807095,Life and Light and Laughter
491,13439295,The Living Ghost
492,13427568,Fifty Shades of Ectoplasm
493,13028247,The Living Ghost
494,12472404,The Living Ghost
495,12130890,The Living Ghost
496,11682549,That which we cannot see
497,11008230,When Lockwood met Cubbins
498,10990965,When Lockwood met Cubbins
499,9896033,Lockwood and Co AUs
500,7898905,Darkwood and Co
501,7568299,That which we cannot see
502,4182219,the alternate universe storybook
503,4182480,the alternate universe storybook
504,48219574,Not Dead Yet
505,48165541,Waltz in Four
506,47965579,craked-up_crazy_Crossovers
507,47928916,Falling in COT3
