,fanfic_id,kudos,bookmarks,comments,hits,date_scraped
244,46936312,168,18,77,"2,238",2023-08-24
245,47137495,38,6,5,302,2023-08-24
246,47748490,142,8,41,"3,255",2023-08-24
247,44959960,227,35,22,"1,279",2023-08-24
248,45581908,200,18,23,"2,155",2023-08-24
249,47427070,,,,,2023-08-24
250,47270335,135,9,100,"2,896",2023-08-24
251,47257099,119,10,37,"1,040",2023-08-24
252,45951115,352,71,101,"1,529",2023-08-24
253,46280392,14,,,336,2023-08-24
254,47212141,169,14,97,"2,289",2023-08-24
255,46835266,33,3,4,478,2023-08-24
256,47093263,53,2,,410,2023-08-24
257,45908176,205,19,18,"1,377",2023-08-24
258,45557293,125,8,4,"1,211",2023-08-24
259,47589151,72,3,30,"1,181",2023-08-24
260,44754016,161,8,27,"1,233",2023-08-24
261,47334856,4,,4,96,2023-08-24
262,45280435,343,40,17,"1,616",2023-08-24
263,47047300,52,2,10,"1,156",2023-08-24
264,46771864,71,3,5,450,2023-08-24
265,47677576,,,,,2023-08-24
266,44868559,190,19,12,"1,551",2023-08-24
267,45547210,189,23,10,"1,426",2023-08-24
268,45233452,354,24,62,"2,245",2023-08-24
269,46789120,114,12,22,751,2023-08-24
270,47193898,53,3,2,501,2023-08-24
271,45883171,320,25,60,"1,595",2023-08-24
272,46807663,111,11,41,"1,796",2023-08-24
273,46864237,89,8,26,"1,539",2023-08-24
274,44780587,77,3,3,"1,330",2023-08-24
275,47577742,106,1,11,"1,203",2023-08-24
276,45760825,74,10,18,408,2023-08-24
277,47695759,109,1,27,681,2023-08-24
278,47237641,94,17,77,762,2023-08-24
279,45455995,140,13,18,720,2023-08-24
280,47336338,148,10,12,779,2023-08-24
281,45727189,456,75,67,"2,543",2023-08-24
282,46018228,53,1,9,"1,295",2023-08-24
283,45261607,269,28,14,"1,922",2023-08-24
284,47168512,76,6,21,"2,463",2023-08-24
285,44961781,277,39,172,"5,187",2023-08-24
286,46146913,7,,,87,2023-08-24
287,47390227,49,2,33,748,2023-08-24
288,47260102,342,40,117,"3,280",2023-08-24
289,47034073,199,16,22,"1,168",2023-08-24
290,45214264,92,9,6,"1,072",2023-08-24
291,44828404,124,4,5,"2,316",2023-08-24
292,47359027,123,5,41,927,2023-08-24
293,46248055,153,18,34,722,2023-08-24
294,44738635,658,73,46,"3,677",2023-08-24
295,47348575,,,,,2023-08-24
296,46886596,120,12,6,"1,573",2023-08-24
297,44973589,81,6,3,948,2023-08-24
298,44929732,371,51,20,"3,034",2023-08-24
299,47009347,,,,,2023-08-24
300,45697006,3,1,,464,2023-08-24
301,45526615,378,27,100,"2,144",2023-08-24
302,45946987,44,3,6,462,2023-08-24
303,47915611,,,,,2023-08-24
304,47785549,347,32,351,"7,184",2023-08-24
305,47164804,116,8,22,"2,007",2023-08-24
306,47437276,97,4,8,957,2023-08-24
307,45959164,90,4,7,502,2023-08-24
308,46963186,49,3,47,693,2023-08-24
309,46903384,127,9,173,"4,136",2023-08-24
310,47811550,556,72,190,"6,095",2023-08-24
311,46879843,152,31,56,870,2023-08-24
312,47882233,33,2,5,156,2023-08-24
313,47634847,268,31,39,"1,704",2023-08-24
314,47017678,134,8,29,"1,831",2023-08-24
315,46946791,218,16,35,"1,539",2023-08-24
316,45911626,28,,2,158,2023-08-24
317,47335051,171,20,9,995,2023-08-24
318,45496039,126,15,4,806,2023-08-24
319,47073643,45,3,6,"1,046",2023-08-24
320,46911409,79,3,4,505,2023-08-24
321,46832422,25,3,14,141,2023-08-24
322,46507747,140,8,6,913,2023-08-24
323,47354797,104,12,9,688,2023-08-24
324,47511262,30,4,14,181,2023-08-24
325,47237377,1,,1,67,2023-08-24
326,47778148,,,,,2023-08-24
327,47025892,16,1,8,583,2023-08-24
328,45868021,96,14,23,"1,745",2023-08-24
329,47259820,36,1,10,523,2023-08-24
330,45301468,39,6,,504,2023-08-24
331,45331582,584,65,11,"3,170",2023-08-24
332,46160227,55,7,2,435,2023-08-24
333,46816357,49,4,12,934,2023-08-24
334,47021806,154,11,30,726,2023-08-24
335,47512669,18,1,,135,2023-08-24
336,46867039,283,23,26,"3,155",2023-08-24
337,47152003,192,12,30,"1,133",2023-08-24
338,45266953,268,29,150,"1,800",2023-08-24
339,45931096,198,13,26,"1,373",2023-08-24
340,45133354,118,6,5,"1,126",2023-08-24
341,47313190,125,15,36,819,2023-08-24
342,47754919,136,6,11,"1,417",2023-08-24
343,46557775,45,2,5,576,2023-08-24
344,47081218,64,4,9,813,2023-08-24
345,47202784,11,,6,58,2023-08-24
346,45329881,356,27,50,"2,480",2023-08-24
347,47857636,,,,,2023-08-24
348,46989058,55,3,6,494,2023-08-24
349,45422980,171,8,8,"1,072",2023-08-24
350,45957463,93,5,14,662,2023-08-24
351,45108736,31,5,,214,2023-08-24
352,47802421,172,23,141,"1,715",2023-08-24
353,47434738,31,,2,314,2023-08-24
354,47145994,,,,,2023-08-24
355,47048059,138,8,11,922,2023-08-24
356,47255707,33,2,10,214,2023-08-24
357,47013694,8,1,8,362,2023-08-24
358,45254641,216,20,18,841,2023-08-24
359,46914463,101,5,26,"1,994",2023-08-24
360,47540767,3,,,156,2023-08-24
361,47500639,33,1,11,208,2023-08-24
362,45213766,123,9,3,"1,086",2023-08-24
363,47404399,30,2,2,439,2023-08-24
364,45963901,179,12,7,"1,234",2023-08-24
365,45125431,116,8,30,"1,634",2023-08-24
366,47808025,128,8,38,"1,243",2023-08-24
367,45202855,18,1,2,705,2023-08-24
368,44940649,547,95,51,"3,580",2023-08-24
369,47153557,34,1,9,665,2023-08-24
370,47645962,142,8,27,"1,256",2023-08-24
371,46438840,210,15,15,"1,350",2023-08-24
372,47837278,15,1,,78,2023-08-24
373,47136370,169,12,79,"1,702",2023-08-24
374,47039815,160,15,88,"2,421",2023-08-24
375,47885800,38,3,5,363,2023-08-24
376,47725465,106,7,26,971,2023-08-24
377,47143141,211,48,48,"1,308",2023-08-24
378,47908096,73,8,28,333,2023-08-24
379,47539786,108,8,30,794,2023-08-24
380,46491514,279,17,19,"1,742",2023-08-24
381,47834269,10,,6,78,2023-08-24
382,45852598,212,12,13,"1,790",2023-08-24
383,47582689,45,,5,534,2023-08-24
384,46836499,176,11,19,"1,309",2023-08-24
385,47035522,236,27,51,"1,505",2023-08-24
386,45513463,200,34,176,"4,050",2023-08-24
387,47115808,45,1,9,680,2023-08-24
388,45393691,74,12,9,892,2023-08-24
389,47910517,119,7,16,740,2023-08-24
390,46175920,428,62,39,"2,000",2023-08-24
391,44665594,337,56,12,"2,058",2023-08-24
392,47048323,111,11,10,"1,563",2023-08-24
393,46981282,51,6,8,457,2023-08-24
394,44857156,521,61,37,"3,643",2023-08-24
395,47142355,48,3,12,230,2023-08-24
396,47886844,70,4,28,"1,845",2023-08-24
397,47129698,114,7,22,885,2023-08-24
398,36028369,37,1,4,660,2023-08-24
399,46901140,24,,22,159,2023-08-24
400,46863016,106,8,8,"1,180",2023-08-24
401,47687353,97,1,13,"1,010",2023-08-24
402,47666440,14,,,73,2023-08-24
403,47125795,35,1,10,231,2023-08-24
404,47709244,87,6,18,714,2023-08-24
405,45967285,98,4,,"1,355",2023-08-24
406,47463121,9,1,2,63,2023-08-24
407,47185939,114,6,27,"1,677",2023-08-24
408,45246253,224,37,47,"1,629",2023-08-24
409,46882453,43,1,49,578,2023-08-24
410,47394868,29,3,9,343,2023-08-24
411,45336562,319,28,18,"2,795",2023-08-24
412,47372872,,,,,2023-08-24
413,47446216,8,,,51,2023-08-24
414,47111563,153,14,17,"1,403",2023-08-24
415,46573864,38,2,1,"1,205",2023-08-24
416,47560099,73,10,27,728,2023-08-24
417,46796395,3,1,,104,2023-08-24
418,46948681,33,2,15,741,2023-08-24
419,47088667,35,8,3,282,2023-08-24
420,47703181,71,2,10,541,2023-08-24
421,47137162,216,22,48,"1,249",2023-08-24
422,47704477,,,,,2023-08-24
423,46858690,80,5,55,659,2023-08-24
424,46887028,547,108,102,"2,865",2023-08-24
425,46396795,113,12,8,949,2023-08-24
426,47439058,61,4,41,585,2023-08-24
427,47115961,85,9,26,"1,075",2023-08-24
428,46836757,144,21,34,"1,096",2023-08-24
429,46816501,5,,2,260,2023-08-24
430,46584922,47,2,20,933,2023-08-24
431,46912456,118,11,21,669,2023-08-24
432,46775158,124,8,16,"1,198",2023-08-24
433,46847860,179,21,43,"1,250",2023-08-24
434,45952858,152,10,14,"1,008",2023-08-24
435,47126380,141,13,35,"1,847",2023-08-24
436,47467075,251,15,69,"3,457",2023-08-24
437,45448111,213,9,8,"1,747",2023-08-24
438,47836729,166,9,54,"1,495",2023-08-24
439,47570875,31,4,4,869,2023-08-24
440,47119729,174,21,34,"1,681",2023-08-24
